# ordinal	sha	result	oss_commit	detail
2	9f07ea790cffcbaf5663e6c6597914b4efb244b1	empty	-	already present or EE-only after boundary strip
1	aeeb38bc0d73c1130308c3a22821e7e74b589846	conflict	-	app/src/components/workflow/TaskRunner.tsx
3	deb331ccca1c7601060a0605ff655f17a4732d53	conflict	-	llm/llm-server/agents/agent_code2.go
26	83cdbc6400f7775f8071dbf897d8cb043e58f858	conflict	-	app/src/components/common/icons/IconTextBadge.tsx
41	f3f3ecf6226ece97dad8c05a4feb96bc69a3eb06	conflict	-	api-server/migrations/migrations/app/atlas.sum
44	685dcbac2a653d372a0e087034382590d7ebda48	conflict	-	api-server/migrations/run-migrations.sh
45	f8bf02b8dbeb431ec54032371e1d4827f49be868	conflict	-	llm/llm-server/agents/core/memory_rerank.go,llm/llm-server/agents/core/memory_rerank_e2e_test.go,llm/llm-server/agents/core/memory_rerank_test.go,llm/llm-server/config/config.go,llm/llm-server/ee/memory/compose.go,llm/llm-server/ee/memory/compose_patterns_rag.go,llm/llm-server/ee/memory/compose_patterns_rag_test.go,llm/llm-server/ee/memory/rerank.go,llm/llm-server/ee/memory/rerank_test.go,llm/llm-server/ee/memory/stores/patterns/patterns_dao.go
46	86dddd6dda4a01b92c53a7e896dcd806bc4d1934	conflict	-	.github/workflows/oss-boundary.yaml,.oss-exclude
50	3a3a714148aaf9efd96b4849c03c1e9c0d306044	conflict	-	app/__tests__/components/common/header/Header1.test.jsx,app/src/components/common/header/Header1.jsx,app/src/pages/home/index.jsx
51	d1eac8818142d8d853c252a758dd740cc4133941	conflict	-	api-server/services/observability/elasticsearch_saas.go
54	a3a721162e1f046da4761d2cebcebf7555755018	conflict	-	llm/llm-server/agents/core/llm_common.go,llm/llm-server/config/config.go
55	72793f2c304ae0b311ac04af53e32a19f8b91166	conflict	-	app/src/components/k8s/details/KubernetesPodDebugger.jsx
57	8bbc791fb99573303d90c04f7ac1972e5e6d69a3	conflict	-	llm/gateway/go.sum
61	5ae074c29053423345bb0a7cd056a2b7558e2c56	conflict	-	api-server/migrations/migrations/app/atlas.sum
62	f57217cef0cb5ff4160b6ff972585696f9921c74	conflict	-	app/src/components/common/navigation/GlobalPageSearch.jsx,app/src/components/common/tour/tours.ts
63	6be1cbc377b06a6a2f7d3aba8469554db590a2be	conflict	-	api-server/migrations/migrations/app/atlas.sum
64	fbfe461fe7bd094485033439a67d3733bae61397	conflict	-	api-server/migrations/migrations/app/atlas.sum
